order_id,customer_name,city,product,category,quantity,price,order_date
1,Aman,Patna,Laptop,Electronics,1,55000,2026-01-05
2,Riya,Delhi,Phone,Electronics,2,30000,2026-01-08
3,Rahul,Mumbai,Headphones,Electronics,3,2500,2026-01-12
4,Neha,Patna,Keyboard,Accessories,2,1500,2026-01-15
5,Priya,Ranchi,Mouse,Accessories,5,800,2026-01-18
6,Karan,Delhi,Monitor,Electronics,1,18000,2026-02-02
7,Sneha,Patna,Chair,Furniture,2,7000,2026-02-05
8,Arjun,Mumbai,Desk,Furniture,1,12000,2026-02-10
9,Aman,Patna,Phone,Electronics,1,30000,2026-02-14
10,Riya,Delhi,Laptop,Electronics,1,55000,2026-02-18
11,Rahul,Mumbai,Mouse,Accessories,4,800,2026-02-22
12,Neha,Patna,Monitor,Electronics,2,18000,2026-03-01
13,Priya,Ranchi,Headphones,Electronics,2,2500,2026-03-04
14,Karan,Delhi,Chair,Furniture,1,7000,2026-03-08
15,Sneha,Patna,Keyboard,Accessories,3,1500,2026-03-12
16,Arjun,Mumbai,Laptop,Electronics,2,55000,2026-03-15
17,Aman,Patna,Desk,Furniture,1,12000,2026-03-18
18,Riya,Delhi,Mouse,Accessories,6,800,2026-03-20
19,Rahul,Mumbai,Phone,Electronics,1,30000,2026-03-24
20,Neha,Patna,Headphones,Electronics,4,2500,2026-03-28
